 ,Estimates,Std.Error,Row,Letter,Full_Protein_Animal_Phylostratigraphy_Slope,Domain_Animal_Phylostratigraphy_Slope,Random_Peptide_Marginals_AA_Freq,Random_Peptide_AA_Std,Mean_RSA,Polarity.x,num_Codons,Random_Peptide_Marginals_Codons,Chronology,Amino_Acid,species_effect_vs_CAIS_slope_old,species_effect_vs_CAIS_std_old,PIC_of_species_effect_vs_CAIS_slope_ignorepls,PIC_species_effect_vs_CAIS_std_ignorepls,RaifordAerobicCost.x,TourasseChangeability.x,Hydrophobicity,Levy_Stickiness,N1redun,N2redun,N3redun,numcodons,GCvATn2redun,GCvATn1redun,PAM_sub,BLOSUM_sub,pair,MarginalEffect,Std.Err,Disorder_Propensity,X3.letter,SlopeAnimal..1496,StErrAnimal..1496,PvalueAnimal..1496,SlopePlant..1496,StErrPlant..1496,PvaluePlant..1496,SlopeAnimal..2101,StErrAnimal..2101,PvalueAnimal..2101,SlopePlant..2101,StErrPlant..2101,PvaluePlant..2101,Slope..2101,StErr..2101,Pvalue..2101,Nitrogen_rich,Essential,Essential_Costa2015,Mean.RSA,LevyStickiness,RandomPeptidesMarginals,Jordan.2005,Jordan_Chronology,Amino_Acid,TrifonovConsensusOrderOfRecruitment_2009,TrifonovConsensusOrderOfRecruitment_2004ties,TrifonovConsensusOrderOfRecruitment_2004,TrifonovConsensusOrderOfRecruitment_2000,TrifonovConsensusOrderOfRecruitment_2000ties,Average_rank_Trifonov2004,TrifonovRecalculated,X..Codons,Polarity.y,TourasseChangeability.y,TourasseChangeabilityNonTrans,TourasseChangeabilityTrans,RaifordAerobicCost.y,VolumeA3,MolecularWeightsDa,wtd_ENC_slope,wtd_ENC_std_error,wtd_CAIS_slope,wtd_CAIS_std_error,wtd_negfullENC_slope,wtd_negfullENC_std_error,D_primate,Error_primate,D_rodent,Error_rodent,model_2_Dflux_residuals,residual_error,residual_marginal_effect,HOMO_LUMO,Relative_aafreq_CM2meteorites,Relative_aafreq_CR2meteorites,CV3/CO3/CI1,CM2,CR2,AA_abundance_Murchison,Amino_Acid,Moosmann_category,,prebiotic_RelativeAbundance,electricdischarge_ReativeAbundance,Murchison_relative_D_abundance,Murchison_relative_L_abundance,avg_GRA_95229_hydroandunhydro,avg_LAP_02342_hydroandunhydro,QUE_99177,avg_EET_92042,avg_Shisr_033,all_CR2_average,log_CR2_avg,avg_all_hdyrothermal,avg_3avg_hydrothermal_experiments,Multi_Average rank_Trifonov2004,Single_Average rank_Trifonov2004,Average_rank_Trifonov2004with0.7ties,Raw_avg_2000,Raw_rank_2000,Filtered_avg_2000,Filtered_sd_2000,Filtered_rank_2000,GC_content,distanceofAARSfromprotozyme
M,0.000780939,0.004784179,11,M,-3.69E-07,9.49E-07,-0.06,0.035,0.841,1.27,1,-0.084,19,Methionine,0.01269,0.006109,-0.001411,0.004392,36.5,4.13,1,1.0124,0,0,0,1,second-position-AT,first-position-AT,6,5,L-M,-0.029984469,0.022340569,0.291,Met,1.41E-06,7.90E-07,0.07520578,-1.33E-07,2.65E-06,0.9600021,6.04E-07,6.02E-07,0.3158916,9.26E-07,6.38E-07,0.1471159,6.83E-07,5.76E-07,0.2357229,1 Nitrogen atom,Essential,Essential,0.841,1.0124,-0.028,-0.0088,19,Methionine,18,19,19,18,18,15.4,18,1,1.27,4.13,6.57,23.45,36.5,162.9,149,-0.0003699,0.0003831,0.017214,0.006369,-0.0009673,9.83E-05,0.208103131,0.042914108,0.140298507,0.019316685,-0.019853885,0.022265034,-0.016418969,9,NA,NA,0,0,0,5,Methionine,Antioxidant,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,15,18,14,18,15.4,0.4,18,1,5
N,-0.077255039,0.010973429,12,N,1.58E-06,-2.01E-07,-0.024,0.033,0.658,-0.48,2,-0.058,11,Asparagine,-0.041661,0.007636,-0.04423,0.00779,18.5,4.1,-1,-0.2693,0,0,2,2,second-position-AT,first-position-AT,2,6,none,-0.021380176,0.022013238,0.285,Asn,-1.38E-06,1.23E-06,0.262654,2.43E-06,3.62E-06,0.5032409,-3.37E-06,8.60E-07,9.25E-05,-3.74E-06,8.88E-07,2.60E-05,-3.59E-06,8.01E-07,7.37E-06,Nitrogen rich,Non-essential,Non-essential,0.658,-0.2693,-0.017,-0.0073,11,Asparagine,13,12,11,11,11,11.3,10,2,-0.48,4.1,5.01,7.71,18.5,114.1,132,0.002708,0.000429,-0.037247,0.007758,-0.0007761,0.0001272,0.103030303,0.038924947,-0.064451827,0.014882337,-0.131398657,0.017356845,-0.021229676,11,NA,NA,0,0,0,NA,Asparagine,Mesophilic folding ,,30,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,11.2,10,11.8,11,12.2,0.7,11,1,5
P,0.100387576,0.018746624,13,P,-4.23E-06,-5.96E-06,0.11,0.02,0.658,0,4,0.11,5,Proline,0.020066,0.006922,0.051203,0.006167,14.5,3.03,-1,-0.1799,0,0,4,4,second-position-GC,first-position-GC,6,7,none,0.033947821,0.012618252,1,Pro,-2.27E-05,2.40E-06,9.63E-21,6.43E-07,5.29E-06,0.9034263,-7.62E-07,1.12E-06,0.4968856,8.12E-08,1.09E-06,0.9406974,-4.23E-07,1.07E-06,0.6922511,1 Nitrogen atom,Conditionally essential,Non-essential,0.658,-0.1799,0.043,0.0139,5,Proline,6,5,5,5,5,7.3,7,4,0,3.03,5.21,5.67,14.5,112.7,115,-0.0015563,0.0003987,0.015631,0.007096,0.0008287,0.0001084,-0.244986922,0.02952693,-0.074779378,0.012442778,0.053836644,0.014416483,0.004033821,11,0.79,0.59,0,1,1,16,Proline,Halophilic folding ,,12,143,NA,NA,31.5,123,NA,NA,NA,77.25,1.887898488,0.0083,0.009388889,7.2,7.4,5,8.3,7,7.5,0.6,6,10,5
Q,-0.002703676,0.00624045,14,Q,-2.52E-06,-5.06E-06,0.034,0.026,0.636,-0.73,2,0.057,11,Glutamine,0.009226,0.005357,-0.007342,0.005343,10.5,3.73,-1,-0.4114,0,0,2,2,second-position-AT,first-position-GC,4,5,H-Q,0.02113474,0.017356141,0.665,Gln,3.46E-06,1.79E-06,0.05328059,-3.20E-06,5.94E-06,0.5904579,-3.86E-06,8.12E-07,2.10E-06,-2.92E-06,7.92E-07,0.000229991,-3.57E-06,7.36E-07,1.28E-06,Nitrogen rich,Conditionally essential,Non-essential,0.636,-0.4114,0.027,-0.002,11,Glutamine,12,12,13,13,13,11.4,13,2,-0.73,3.73,4.84,4.68,10.5,143.8,146,-0.0007692,0.0003075,0.006058,0.005362,0.00143,8.07E-05,-0.035490605,0.032308533,-0.113986445,0.014331119,-0.095397661,0.016538478,0.01383124,11,NA,NA,0,0,0,NA,Glutamine,Mesophilic folding ,,692,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,12.8,10,12.4,14,13,0.4,13,3,4
R,0.083717803,0.00766964,15,R,-1.29E-06,-2.24E-06,-0.018,0.015,0.639,-0.84,6,-0.014,10,Arginine,0.056297,0.006307,0.05894,0.0111,20.5,3.37,-1,-0.0876,2,0,4,6,second-position-GC,NOPE,6,5,R-K,-0.009631155,0.008768144,0.394,Arg,2.98E-06,1.94E-06,0.1232735,8.46E-06,5.85E-06,0.1495614,-6.24E-07,1.20E-06,0.6034024,-3.41E-07,1.32E-06,0.7964742,-2.78E-07,1.17E-06,0.8122064,Nitrogen rich,Conditionally essential,Non-essential,0.639,-0.0876,-0.0066,-0.0038,10,Arginine,10,10,10,10,10,11,14,6,-0.84,3.37,4.26,11.6,20.5,173.4,174,-0.0033827,0.0003482,0.053019,0.006319,0.0023576,0.0001201,0.033984093,0.026889883,0.197010295,0.011875346,0.124217563,0.013709321,0.002599845,10.5,NA,NA,0,0,0,NA,Arginine,Mesophilic folding ,,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,11.7,10,12,12,11.5,0.7,10,13,4
S,0.024355381,0.013698795,16,S,-3.83E-06,-7.75E-06,0.062,0.015,0.722,-0.5,6,0.066,6,Serine,0.024751,0.007839,0.023821,0.009348,14.5,3.96,-1,0.1376,2,2,4,6,second-position-GC,first-position-AT,2,4,none,0.028357303,0.008863333,0.713,Ser,-1.42E-05,2.19E-06,1.19E-10,6.33E-07,6.71E-06,0.9250434,-1.61E-06,1.00E-06,0.107516,-3.26E-06,1.13E-06,0.003988755,-1.40E-06,1.00E-06,0.163653,1 Nitrogen atom,Non-essential,Non-essential,0.722,0.1376,0.031,-0.017,6,Serine,5,6,6,6,6,7.6,5,6,-0.5,3.96,6.07,12.22,14.5,89,105,-0.0008545,0.0004834,0.027345,0.007968,0.0011438,0.0001252,0.05508982,0.024470439,0.022559073,0.009442791,-0.032431197,0.011006526,0.003717803,11,0.8,0.29,1,1,1,6,Serine,Halophilic folding ,,96,5,11,35,7,31,1294,742,219,518.5,2.714748761,0.197363636,0.237666667,8,7.1,5,7.9,5,7.7,0.7,7,3,4
T,0.000925584,0.007104502,17,T,8.32E-07,-4.20E-07,0.016,0.022,0.728,-0.27,4,0.024,8,Theonine,0.002166,0.005973,-0.00412,0.005264,21.5,4.26,-1,0.1031,0,0,4,4,second-position-GC,first-position-AT,3,5,none,-0.001598737,0.01401164,0.401,Thr,-3.48E-06,1.36E-06,0.01051044,6.53E-07,3.78E-06,0.8630705,2.38E-06,8.91E-07,0.00760904,1.45E-06,9.69E-07,0.1335275,1.54E-06,8.56E-07,0.07302443,1 Nitrogen atom,Essential,Essential,0.728,0.1031,0.0024,-0.0091,8,Theonine,9,8.5,8,9,9,9.4,9,4,-0.27,4.26,5.32,17.54,21.5,116.1,119,0.0003484,0.0003624,0.005757,0.006189,-0.000817,9.30E-05,0.041594454,0.02943724,0.076982692,0.011365104,0.020287365,0.013246759,-0.005702237,11,0.72,0.34,0,1,1,5,Theonine,Halophilic folding ,,NA,NA,0,19,18,39,NA,NA,NA,28.5,1.45484486,0.035,0.0205,9.8,9,8,10.1,9,9.8,0.6,9,6,5
V,0.023603793,0.006687458,18,V,2.41E-06,6.37E-06,-0.028,0.017,0.857,1.09,4,-0.05,4,Valine,0.042078,0.003526,0.003166,0.005217,29,3.97,1,0.7599,0,0,4,4,second-position-AT,first-position-GC,4,4,I-V,-0.018088215,0.010015604,0.263,Val,5.07E-06,1.41E-06,0.000314926,6.87E-06,4.73E-06,0.1480047,7.06E-06,1.15E-06,8.73E-10,7.77E-06,1.30E-06,2.40E-09,7.29E-06,1.15E-06,2.79E-10,1 Nitrogen atom,Essential,Essential,0.857,0.7599,-0.015,-0.0098,4,Valine,4,4,4,4,3,6.3,4,4,1.09,3.97,6.79,26.51,29,140,117,-0.0023116,0.0002282,0.043409,0.003513,-0.0006617,8.02E-05,0.087797619,0.027277236,0.074313204,0.011251591,-0.007660695,0.013056567,-0.009772715,11,0.72,0.66,1,1,1,16,Valine,Membrane anchor ,,22,24,2.4,15,25,537.5,7303,5675,205.5,3385.125,3.52957471,0.001,0.001,6.1,6.5,3,6.9,3,6.6,0.6,3,6,7
W,0.000667401,0.002420595,19,W,5.02E-07,9.19E-07,0.025,0.027,0.837,0.88,1,0.038,20,Tryptophan,-0.0006531,0.0013269,-0.005341,0.002929,75.5,1.04,0,0.7925,0,0,0,1,second-position-GC,first-position-AT,17,11,none,0.00986602,0.017192357,0.004,Trp,-1.99E-07,7.59E-07,0.7930612,-4.79E-07,2.50E-06,0.8481861,-1.28E-06,6.27E-07,0.04051672,-1.68E-06,6.57E-07,0.01070872,-1.55E-06,6.18E-07,0.01236893,Nitrogen rich,Essential,Essential,0.837,0.7925,0.012,-2.00E-04,20,Tryptophan,20,20,20,20,20,16.5,20,1,0.88,1.04,1,1,75.5,227.8,204,-5.35E-05,7.91E-05,-0.001244,0.001348,0.0006806,2.03E-05,0.225806452,0.080321933,-0.010309278,0.033844872,-0.154804058,0.0392137,0.05351402,8.5,NA,NA,0,0,0,NA,Tryptophan,Antioxidant,,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,15.3,20,15.8,20,16.7,0.5,20,2,2
Y,-0.033438255,0.006113427,20,Y,1.39E-06,2.11E-06,-0.053,0.03,0.813,0.33,2,-0.067,18,Tyrosine,-0.028267,0.003675,-0.019036,0.003405,59,1.38,-1,0.8806,0,0,2,2,second-position-AT,first-position-AT,10,7,F-Y,-0.020255892,0.019914553,0.113,Tyr,1.53E-06,1.23E-06,0.2153081,1.48E-06,3.02E-06,0.6254941,-4.55E-06,8.86E-07,2.95E-07,-3.36E-06,8.79E-07,0.000137963,-4.54E-06,8.43E-07,7.74E-08,1 Nitrogen atom,Conditionally essential,Non-essential,0.813,0.8806,-0.02,5.00E-04,18,Tyrosine,19,18,18,19,19,15.2,19,2,0.33,1.38,3.09,3.81,59,193.6,181,0.0017975,0.0001952,-0.025973,0.003665,-0.001018,6.58E-05,-0.021406728,0.055300126,0.003103662,0.024914503,-0.00598894,0.028715084,0.009292608,9,0.63,0.04,0,1,1,NA,Tyrosine,Antioxidant,,16,7,NA,NA,2.5,1,NA,NA,NA,1.75,0.243038049,NA,NA,15.2,15.3,18,14.7,19,15.6,0.4,19,1,2
